passenger_count|pickup_year|distance|the_count
INT|INT|INT|LONG
1|2010|228|1
1|2010|1586819|1
1|2010|122|1
2|2010|220|1
2|2010|16201631|1
3|2010|76|1
1|2010|10821306|1
2|2010|103|1
5|2010|96|1
137|2010|17|1
15|2010|1|1
1|2010|310|1
1|2010|2250100|1
4|2010|242|1
4|2010|69|1
1|2010|217|1
1|2010|806|1
1|2010|3000000|1
1|2010|96550|1
1|2010|235|1
1|2010|109|1
8|2010|0|1
1|2010|1010015|1
1|2010|349|1
3|2010|800|1
3|2010|66|1
58|2010|8|1
5|2010|83|1
2|2010|238|1
1|2010|120|1
1|2010|233|1
2|2010|132|1
3|2010|725|1
2|2010|94|1
1|2010|6415000|1
1|2010|5000|1
4|2010|6746333|1
1|2010|530|1
4|2010|188|1
3|2010|162|1
3|2010|90|1
2|2010|501|1
0|2010|76|1
250|2010|2|1
2|2010|802|1
1|2010|920|1
2|2010|269|1
1|2010|820|1
2|2010|274|1
2|2010|25000|1
2|2010|402|1
1|2010|92973|1
1|2010|268|1
2|2010|409|1
4|2010|170|1
3|2010|64|1
1|2010|121|1
1|2010|3300833|1
3|2010|141|1
4|2010|84|1
1|2010|264|1
3|2010|100000|1
2|2010|5043300|1
5|2010|126|1
6|2010|41|1
4|2010|71|1
1|2010|301|1
1|2010|833180|1
1|2010|50000|1
2|2010|133|1
2|2010|170|1
6|2010|50|1
4|2010|30083|1
1|2010|256|1
2|2010|1000000|1
1|2010|5013|1
1|2010|335|1
2|2010|289|1
4|2010|401|1
0|2010|43|1
1|2010|250000|1
3|2010|3008|1
4|2010|139|1
1|2010|657|1
0|2010|77|1
1|2010|8323008|1
3|2010|420|1
4|2010|53|1
2|2010|30083|1
1|2010|507331|1
1|2010|81331|1
3|2010|69|1
1|2010|8001|1
1|2010|247|1
1|2010|2501000|1
2|2010|65|1
2|2010|11800000|1
3|2010|137|1
1|2010|20500|1
4|2010|198|1
4|2010|414|1
1|2010|1174|1
133|2010|3|1
4|2010|213|1
2|2010|109|1
1|2010|395|1
1|2010|283|1
2|2010|122|1
1|2010|2900|1
2|2010|152|1
1|2010|661|1
4|2010|168|1
4|2010|189|1
1|2010|5143318|1
1|2010|508|1
1|2011|1|39630835
1|2011|0|28218374
1|2011|2|20538866
1|2011|3|10567484
2|2011|1|8847357
1|2011|4|5818627
2|2011|0|5649843
2|2011|2|4742089
5|2011|1|4614952
1|2011|5|3630082
5|2011|0|2963715
3|2011|1|2669379
2|2011|3|2565837
5|2011|2|2424800
1|2011|6|2309287
3|2011|0|1667877
1|2011|7|1544484
2|2011|4|1435598
3|2011|2|1417736
1|2011|8|1366392
1|2011|9|1344384
4|2011|1|1271874
5|2011|3|1268467
1|2011|10|1110417
2|2011|5|896274
0|2011|1|884997
3|2011|3|763802
4|2011|0|758242
1|2011|11|756199
5|2011|4|702415
4|2011|2|685280
0|2011|0|679047
2|2011|6|550964
1|2011|17|516768
6|2011|1|510399
1|2011|12|471704
5|2011|5|443195
0|2011|2|430866
3|2011|4|422541
1|2011|18|389074
4|2011|3|375159
2|2011|7|363097
1|2011|16|351200
2|2011|9|342278
2|2011|8|328059
6|2011|0|326070
2|2011|10|295563
1|2011|13|291257
5|2011|6|279639
6|2011|2|270034
3|2011|5|268090
1|2011|19|242387
1|2011|15|225352
1|2011|14|222703
0|2011|3|211773
2|2011|11|208408
4|2011|4|204640
5|2011|7|187292
2|2011|17|176712
5|2011|9|165959
5|2011|8|165684
3|2011|6|164423
1|2011|20|162199
6|2011|3|141084
5|2011|10|139184
4|2011|5|134706
2|2011|18|124316
2|2011|12|121226
0|2011|4|112552
2|2011|16|108385
3|2011|7|104223
1|2011|21|102572
5|2011|11|96997
3|2011|8|87827
3|2011|9|87267
4|2011|6|80269
6|2011|4|79451
5|2011|17|77766
3|2011|10|75496
2|2011|13|72891
2|2011|19|70069
0|2011|5|69700
5|2011|12|59353
2|2011|15|59238
5|2011|18|57743
2|2011|14|57020
3|2011|11|56558
6|2011|5|49415
4|2011|7|48614
2|2011|20|47646
5|2011|16|46815
1|2011|22|45987
3|2011|17|44371
0|2011|6|43498
4|2011|9|40516
4|2011|8|40097
5|2011|13|36275
4|2011|10|35514
5|2011|19|34074
3|2011|12|32928
6|2011|6|31599
2|2011|21|31117
3|2011|18|30899
5|2011|15|29084
5|2011|14|28531
4|2011|11|27402
0|2011|7|26703
3|2011|16|26254
4|2011|17|24439
1|2011|23|22963
5|2011|20|22787
6|2011|7|20921
3|2011|13|19399
6|2011|8|18652
6|2011|9|18458
0|2011|8|16962
3|2011|19|16756
4|2011|18|16493
6|2011|10|15866
4|2011|12|15712
1|2011|24|15115
3|2011|15|15016
3|2011|14|14976
5|2011|21|14205
4|2011|16|14006
2|2011|22|13598
0|2011|9|13569
3|2011|20|11473
6|2011|11|11113
1|2011|25|11083
0|2011|10|10974
1|2011|26|9535
4|2011|13|9246
0|2011|11|8656
4|2011|19|8171
1|2011|27|7800
3|2011|21|7497
4|2011|15|7337
6|2011|17|7330
4|2011|14|7105
1|2011|28|6795
6|2011|12|6749
0|2011|12|6488
5|2011|22|6150
2|2011|23|6148
4|2011|20|5592
6|2011|18|5533
6|2011|16|4855
1|2011|29|4648
0|2011|17|4617
0|2011|16|4541
0|2011|13|4422
6|2011|13|4051
2|2011|24|3846
0|2011|18|3805
4|2011|21|3773
3|2011|22|3615
0|2011|14|3534
0|2011|15|3470
1|2011|30|3413
6|2011|19|3334
6|2011|15|3107
6|2011|14|3094
5|2011|23|2880
1|2011|31|2877
2|2011|25|2676
1|2011|32|2629
0|2011|19|2574
1|2011|33|2281
6|2011|20|2266
2|2011|26|2223
1|2011|34|2022
1|2011|35|1873
5|2011|24|1867
4|2011|22|1803
2|2011|27|1797
0|2011|20|1710
1|2011|36|1703
3|2011|23|1601
2|2011|28|1592
6|2011|21|1437
1|2011|37|1390
5|2011|25|1229
1|2011|38|1206
1|2011|39|1131
5|2011|26|1064
2|2011|29|1021
3|2011|24|1013
1|2011|40|975
0|2011|21|965
4|2011|23|863
1|2011|41|859
1|2011|42|779
5|2011|27|777
2|2011|30|731
3|2011|25|715
1|2011|43|690
5|2011|28|671
3|2011|26|629
1|2011|45|618
2|2011|31|602
1|2011|44|587
0|2011|22|581
6|2011|22|579
4|2011|24|538
1|2011|46|518
1|2011|47|506
1|2011|50|485
2|2011|32|481
1|2011|48|479
3|2011|27|476
2|2011|34|472
1|2011|49|452
2|2011|33|432
3|2011|28|424
5|2011|29|415
2|2011|35|412
1|2011|51|385
1|2011|52|364
4|2011|26|351
4|2011|25|344
0|2011|23|340
2|2011|36|338
1|2011|53|309
5|2011|30|307
4|2011|27|301
1|2011|56|300
1|2011|54|299
5|2011|31|285
1|2011|55|281
6|2011|23|275
3|2011|29|263
1|2011|58|257
2|2011|37|255
1|2011|57|246
5|2011|32|233
1|2011|60|229
1|2011|59|224
2|2011|38|222
0|2011|24|214
1|2011|61|206
1|2011|63|204
6|2011|24|202
4|2011|28|198
3|2011|30|197
1|2011|62|192
0|2011|25|189
5|2011|34|186
2|2011|39|182
3|2011|31|181
5|2011|33|173
1|2011|65|173
1|2011|64|172
1|2011|66|162
4|2011|29|162
1|2011|80|157
1|2011|67|155
0|2011|26|153
1|2011|68|153
5|2011|35|151
1|2011|70|145
5|2011|36|143
4|2011|30|141
1|2011|69|139
0|2011|27|138
1|2011|81|133
2|2011|40|132
6|2011|25|130
5|2011|37|130
3|2011|33|126
208|2011|0|123
3|2011|32|121
1|2011|75|118
3|2011|34|117
1|2011|74|117
2|2011|41|116
0|2011|28|114
1|2011|72|113
1|2011|77|109
1|2011|82|109
2|2011|42|109
1|2011|71|108
1|2011|78|105
1|2011|76|104
6|2011|26|103
1|2011|88|101
3|2011|35|96
4|2011|32|96
3|2011|36|95
4|2011|31|95
1|2011|73|93
6|2011|27|93
1|2011|97|92
1|2011|83|91
1|2011|87|88
1|2011|86|87
1|2011|79|87
1|2011|92|86
1|2011|84|86
1|2011|94|86
1|2011|91|86
1|2011|85|85
1|2011|96|83
2|2011|44|81
2|2011|43|79
4|2011|34|78
5|2011|38|78
1|2011|95|73
0|2011|30|73
1|2011|93|73
1|2011|89|73
6|2011|28|72
3|2011|38|72
0|2011|32|72
1|2011|90|71
4|2011|33|68
1|2011|99|68
1|2011|98|66
0|2011|29|63
1|2011|100|61
3|2011|37|61
2|2011|45|60
4|2011|35|59
0|2011|31|58
4|2011|36|55
2|2011|50|54
2|2011|46|53
5|2011|40|51
5|2011|39|50
2|2011|47|50
2|2011|48|50
3|2011|39|49
4|2011|37|48
0|2011|34|46
2|2011|49|40
5|2011|41|40
0|2011|35|39
0|2011|33|39
4|2011|38|38
5|2011|42|37
3|2011|41|37
2|2011|51|34
2|2011|52|34
3|2011|40|34
2|2011|53|32
2|2011|54|32
6|2011|29|32
0|2011|36|30
4|2011|39|30
5|2011|43|28
0|2011|38|28
0|2011|41|27
6|2011|31|27
4|2011|40|27
0|2011|40|27
0|2011|37|27
6|2011|30|26
6|2011|32|26
